# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-10-19 03:21:15 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11519500 SCOTT R NR FORT JONES CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11519500
#            TS   parameter     statistic     Description
#         11850       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11850_00060_00003	11850_00060_00003_cd
USGS	11519500	2019-01-01	148	A
USGS	11519500	2019-01-02	138	A
USGS	11519500	2019-01-03	132	A
USGS	11519500	2019-01-04	126	A
USGS	11519500	2019-01-05	122	A
USGS	11519500	2019-01-06	124	A
USGS	11519500	2019-01-07	119	A
USGS	11519500	2019-01-08	118	A
USGS	11519500	2019-01-09	593	A
USGS	11519500	2019-01-10	745	A
USGS	11519500	2019-01-11	503	A
USGS	11519500	2019-01-12	384	A
USGS	11519500	2019-01-13	313	A
USGS	11519500	2019-01-14	273	A
USGS	11519500	2019-01-15	248	A
USGS	11519500	2019-01-16	237	A
USGS	11519500	2019-01-17	773	A
USGS	11519500	2019-01-18	772	A
USGS	11519500	2019-01-19	1530	A
USGS	11519500	2019-01-20	3280	A
USGS	11519500	2019-01-21	2430	A
USGS	11519500	2019-01-22	1480	A
USGS	11519500	2019-01-23	1130	A
USGS	11519500	2019-01-24	952	A
USGS	11519500	2019-01-25	823	A
USGS	11519500	2019-01-26	727	A
USGS	11519500	2019-01-27	661	A
USGS	11519500	2019-01-28	615	A
USGS	11519500	2019-01-29	593	A
USGS	11519500	2019-01-30	573	A
USGS	11519500	2019-01-31	546	A
USGS	11519500	2019-02-01	525	A
USGS	11519500	2019-02-02	581	A
USGS	11519500	2019-02-03	638	A
USGS	11519500	2019-02-04	603	A
USGS	11519500	2019-02-05	539	A
USGS	11519500	2019-02-06	492	A
USGS	11519500	2019-02-07	450	A
USGS	11519500	2019-02-08	421	A
USGS	11519500	2019-02-09	419	A
USGS	11519500	2019-02-10	402	A
USGS	11519500	2019-02-11	380	A
USGS	11519500	2019-02-12	374	A
USGS	11519500	2019-02-13	424	A
USGS	11519500	2019-02-14	929	A
USGS	11519500	2019-02-15	1430	A
USGS	11519500	2019-02-16	1080	A
USGS	11519500	2019-02-17	924	A
USGS	11519500	2019-02-18	807	A
USGS	11519500	2019-02-19	722	A
USGS	11519500	2019-02-20	682	A
USGS	11519500	2019-02-21	644	A
USGS	11519500	2019-02-22	593	A
USGS	11519500	2019-02-23	558	A
USGS	11519500	2019-02-24	547	A
USGS	11519500	2019-02-25	940	A
USGS	11519500	2019-02-26	1740	A
USGS	11519500	2019-02-27	3230	A
USGS	11519500	2019-02-28	2820	A
USGS	11519500	2019-03-01	1870	A
USGS	11519500	2019-03-02	1480	A
USGS	11519500	2019-03-03	1290	A
USGS	11519500	2019-03-04	1170	A
USGS	11519500	2019-03-05	1100	A
USGS	11519500	2019-03-06	1150	A
USGS	11519500	2019-03-07	1230	A
USGS	11519500	2019-03-08	1130	A
USGS	11519500	2019-03-09	1040	A
USGS	11519500	2019-03-10	968	A
USGS	11519500	2019-03-11	896	A
USGS	11519500	2019-03-12	847	A
USGS	11519500	2019-03-13	798	A
USGS	11519500	2019-03-14	752	A
USGS	11519500	2019-03-15	726	A
USGS	11519500	2019-03-16	712	A
USGS	11519500	2019-03-17	718	A
USGS	11519500	2019-03-18	752	A
USGS	11519500	2019-03-19	814	A
USGS	11519500	2019-03-20	893	A
USGS	11519500	2019-03-21	990	A
USGS	11519500	2019-03-22	1000	A
USGS	11519500	2019-03-23	983	A
USGS	11519500	2019-03-24	919	A
USGS	11519500	2019-03-25	918	A
USGS	11519500	2019-03-26	976	A
USGS	11519500	2019-03-27	956	A
USGS	11519500	2019-03-28	978	A
USGS	11519500	2019-03-29	899	A
USGS	11519500	2019-03-30	849	A
USGS	11519500	2019-03-31	813	A
USGS	11519500	2019-04-01	841	A
USGS	11519500	2019-04-02	1130	A
USGS	11519500	2019-04-03	1390	A
USGS	11519500	2019-04-04	1430	A
USGS	11519500	2019-04-05	1550	A
USGS	11519500	2019-04-06	1690	A
USGS	11519500	2019-04-07	1860	A
USGS	11519500	2019-04-08	3450	A
USGS	11519500	2019-04-09	5220	A
USGS	11519500	2019-04-10	3080	A
USGS	11519500	2019-04-11	2260	A
USGS	11519500	2019-04-12	1890	A
USGS	11519500	2019-04-13	1680	A
USGS	11519500	2019-04-14	1610	A
USGS	11519500	2019-04-15	1540	A
USGS	11519500	2019-04-16	1450	A
USGS	11519500	2019-04-17	1320	A
USGS	11519500	2019-04-18	1350	A
USGS	11519500	2019-04-19	1690	A
USGS	11519500	2019-04-20	2150	A
USGS	11519500	2019-04-21	2160	A
USGS	11519500	2019-04-22	1900	A
USGS	11519500	2019-04-23	1860	A
USGS	11519500	2019-04-24	2250	A
USGS	11519500	2019-04-25	2480	A
USGS	11519500	2019-04-26	2510	A
USGS	11519500	2019-04-27	2240	A
USGS	11519500	2019-04-28	1990	A
USGS	11519500	2019-04-29	1810	A
USGS	11519500	2019-04-30	1620	A
USGS	11519500	2019-05-01	1430	A
USGS	11519500	2019-05-02	1300	A
USGS	11519500	2019-05-03	1220	A
USGS	11519500	2019-05-04	1230	A
USGS	11519500	2019-05-05	1320	A
USGS	11519500	2019-05-06	1420	A
USGS	11519500	2019-05-07	1450	A
USGS	11519500	2019-05-08	1500	A
USGS	11519500	2019-05-09	1500	A
USGS	11519500	2019-05-10	1510	A
USGS	11519500	2019-05-11	1420	A
USGS	11519500	2019-05-12	1440	A
USGS	11519500	2019-05-13	1430	A
USGS	11519500	2019-05-14	1360	A
USGS	11519500	2019-05-15	1320	A
USGS	11519500	2019-05-16	2100	A
USGS	11519500	2019-05-17	1860	A
USGS	11519500	2019-05-18	1420	A
USGS	11519500	2019-05-19	1310	A
USGS	11519500	2019-05-20	1190	A
USGS	11519500	2019-05-21	1110	A
USGS	11519500	2019-05-22	1050	A
USGS	11519500	2019-05-23	987	A
USGS	11519500	2019-05-24	963	A
USGS	11519500	2019-05-25	977	A
USGS	11519500	2019-05-26	1040	A
USGS	11519500	2019-05-27	1040	A
USGS	11519500	2019-05-28	1040	A
USGS	11519500	2019-05-29	1110	A
USGS	11519500	2019-05-30	1140	A
USGS	11519500	2019-05-31	1120	A
USGS	11519500	2019-06-01	1160	A
USGS	11519500	2019-06-02	1330	A
USGS	11519500	2019-06-03	1420	A
USGS	11519500	2019-06-04	1310	A
USGS	11519500	2019-06-05	1190	A
USGS	11519500	2019-06-06	1100	A
USGS	11519500	2019-06-07	967	A
USGS	11519500	2019-06-08	838	A
USGS	11519500	2019-06-09	738	A
USGS	11519500	2019-06-10	684	A
USGS	11519500	2019-06-11	684	A
USGS	11519500	2019-06-12	723	A
USGS	11519500	2019-06-13	734	A
USGS	11519500	2019-06-14	702	A
USGS	11519500	2019-06-15	660	A
USGS	11519500	2019-06-16	624	A
USGS	11519500	2019-06-17	582	A
USGS	11519500	2019-06-18	540	A
USGS	11519500	2019-06-19	495	A
USGS	11519500	2019-06-20	455	A
USGS	11519500	2019-06-21	409	A
USGS	11519500	2019-06-22	362	A
USGS	11519500	2019-06-23	335	A
USGS	11519500	2019-06-24	315	A
USGS	11519500	2019-06-25	296	A
USGS	11519500	2019-06-26	275	A
USGS	11519500	2019-06-27	253	A
USGS	11519500	2019-06-28	235	A
USGS	11519500	2019-06-29	218	A
USGS	11519500	2019-06-30	202	A
USGS	11519500	2019-07-01	191	A
USGS	11519500	2019-07-02	182	A
USGS	11519500	2019-07-03	169	A
USGS	11519500	2019-07-04	154	A
USGS	11519500	2019-07-05	147	A
USGS	11519500	2019-07-06	133	A
USGS	11519500	2019-07-07	128	A
USGS	11519500	2019-07-08	120	A
USGS	11519500	2019-07-09	110	A
USGS	11519500	2019-07-10	103	A
USGS	11519500	2019-07-11	98.8	A
